"","items","prices","soldwhen"
"200","Tyler Wade Lot (49) 2016 Bowman Draft Chrome Purple Refractor Black Base Yankees","$1.57","Jan-29 19:43"
"201","2010-2016 Bowman Chrome Auto Lot! Giolito, Kipnis, Etc!","$23.53","Jan-29 15:27"
"202","Lot of 2 2016 Bowman Chrome Gleyber Torres BGS 8.5 Rookie Cards!","$8.99","Jan-29 15:25"
"203","2016 BOWMAN CHROME DRAFT PROSPECTS REFRACTOR AMED ROSARIO #BDC-190 METS","$1.85","Jan-29 15:09"
"204","2016 BOWMAN CHROME PURPLE AUTO HARRISON BADER BGS 8.5 W/ 10 AUTO","$49.95","Jan-29 15:07"
"205","2016 Bowman Chrome Draft IAN ANDERSON RC Rookie Autograph Auto BRAVES","$13.50","Jan-29 15:04"
"206","2016 Bowman Chrome * Oneal Cruz * Autograph Refractor * # 295/499 * Dodgers SSP","$0.99","Jan-29 15:00"
"207","(14) Will Craig 2016 Bowman Chrome Draft RC Auto Lot - Pirates","$111.38","Jan-29 14:57"
"208","(325) 2016 Bowman CHROME Draft REFRACTOR ++++ Insert Non Auto Lot","$47.01","Jan-29 14:56"
"209","2016 Bowman Draft Chrome Mickey Moniak REFRACTOR RC","$2.50","Jan-29 14:53"
"210","2016 Bowman Chrome Draft Prospect Ref Rookie Delvin Perez #31 - Cardinals","$4.00","Jan-29 14:53"
"211","2016 (Mets) Bowman Chrome Out of the Gate Gold Refractors #OOG5 Michael Conforto","$6.80","Jan-29 14:51"
"212","2016 Bowman Chrome RC Auto Riley Pint","$14.99","Jan-29 14:51"
"213","JORGE MATEO - 2016 BOWMAN CHROME NATIONAL CONVENTION #BNR39 GOLD REFRACTOR #/50","$16.99","Jan-29 14:43"
"214","BRAXTON GARRETT - 2016 BOWMAN CHROME DRAFT AUTO AUTOGRAPH RC - MARLINS","$12.00","Jan-29 14:43"
"215","2016 Bowman Draft Delvin Perez Chrome Refractor Auto 253/499","$69.00","Jan-29 14:41"
"216","BUDDY REED #BDC15 - 2016 BOWMAN CHROME DRAFT SKY BLUE REFRACTOR - PADRES","$2.00","Jan-29 14:40"
"217","DANIEL JOHNSON - 2016 BOWMAN CHROME DRAFT REFRACTOR #BDC94 - NATIONALS","$0.99","Jan-29 14:40"
"218","AMED ROSARIO - 2016 BOWMAN CHROME DRAFT REFRACTOR #BDC190 - METS","$0.99","Jan-29 14:40"
"219","ANDREW SOPKO - 2016 BOWMAN CHROME DRAFT REFRACTOR #BDC194 - DODGERS","$0.99","Jan-29 14:40"
"220","2016 Bowman Chrome Corey Black Auto Refractor Card #2/499 MLB Cubs","$3.00","Jan-29 14:35"
"221","2016 Bowman Chrome Taylor Trammell Auto RC","$12.50","Jan-29 14:34"
"222","2016 Bowman Chrome ORANGE Refractor Chris Okey Auto RC #D/25","$42.25","Jan-29 14:34"
"223","Juan Soto 2016 Bowman Chrome Refractor RC AUTO #277/499     NATIONALS  GRADEABLE","$82.82","Jan-29 14:34"
"224","2016 Bowman Chrome Blue Wave Ref Dane Dunning Auto RC #D/150","$13.59","Jan-29 14:33"
"225","(55) Corey Ray 2016 Bowman Chrome Draft Refractor + Insert Lot Milwaukee Brewers","$15.74","Jan-29 14:28"
"226","Brendan Rodgers 2016 Bowman Chrome / Bowman RC LOT (10)","$1.09","Jan-29 14:20"
"227","VICTOR ROBLES Lot of (7) 2016 1st Year Bowman & Chrome","$7.50","Jan-29 14:20"
"228","2016 BOWMAN CHROME SCOUT'S UPDATES CODY BELLINGER DODGERS FREE SHIPPING","$0.99","Jan-29 14:18"
"229","2016 Bowman Chrome Bowman Scouts Updates #BSUCB Cody Bellinger Dodgers","$1.75","Jan-29 14:17"
"230","2016 Bowman's Best Gary Sanchez RC Lot #3 - Chrome + Refractor","$0.99","Jan-29 14:11"
"231","(145) Chicago Cubs 2016 Bowman Chrome Draft Lot Eloy Jimenez Ian Happ Cease","$8.50","Jan-29 14:09"
"232","COREY SEAGER - 2016 Bowman Chrome National Convention PRISM Refractor - QTY!","$6.45","Jan-29 14:09"
"233","(3x) 2016 Bowman Chrome Draft * DELVIN PEREZ ROOKIE PURPLE REFRACTOR /250 LOT","$30.00","Jan-29 13:59"
"234","ZACK COLLINS 2016 Bowman Chrome Draft * 10x ALL CHROME + 3x REFRACTORS LOT","$15.00","Jan-29 13:58"
"235","2016 Bowman Chrome Yoan Moncada 13 Card Rookie Lot! 7 Bowman Paper 6 Chrome!","$15.99","Jan-29 13:56"
"236","2016 BOWMAN DRAFT JUSTIN DUNN *CHROME GOLD WAVE REFRACTOR AUTO #16/50*  NY METS","$69.99","Jan-29 13:53"
"237","(3) LOT - 2016 Bowman Chrome Chris Okey Purple /250 + x2 Base Auto Autograph RC","$16.27","Jan-29 13:53"
"238","(3) LOT - 2016 Bowman Chrome BLUE Refractor Kyle Lewis /150 #BDC-60 GRADE! RC","$34.00","Jan-29 13:53"
"239","(2) LOT 2016 Topps Bowman Chrome REFRACTOR Gleyeber Torres #BDC-143 Yankees RC","$6.50","Jan-29 13:52"
"240","(2) LOT - 2016 Bowman Chrome REFRACTOR Dakota Hudson /499 Auto Autograph #CDA-DH","$6.24","Jan-29 13:52"
"241","(2) LOT - 2016 1st Bowman Chrome Purple Kyle Lewis /250 #BDC-60 Mariners GRADE!","$10.50","Jan-29 13:51"
"242","REDEMPTION 2016 Bowman Chrome GREEN Julio Urias Auto Autograph #BCAR-JU Dodgers","$62.66","Jan-29 13:50"
"243","2016 BOWMAN DRAFT CHROME ALEX KIRILLOFF  AUTO ROOKIE RC MINNESOTA AUTOGRAPH","$35.00","Jan-29 13:50"
"244","2016 Bowman Chrome Nate Smith Purple Refractor Auto #'d 178/250 BGS 9/10 Auto","$7.00","Jan-29 13:49"
"245","2016 BOWMAN DRAFT CHROME MICKEY MONIAK AUTO ROOKIE RC PHILLIES AUTOGRAPH","$85.88","Jan-29 13:46"
"246","2016 Bowman Chrome Purple Refractor Will Benson 218/250","$1.99","Jan-29 13:42"
"247","2016 Bowman Chrome Draft #BDC-110 Matt Thaiss Green Refractor #'d 66/99 ~ Angels","$7.99","Jan-29 13:40"
"248","2016 Bowman Chrome YADIER ALVAREZ REF Auto #/499 BGS 9.5/10 DODGERS","$86.00","Jan-29 13:37"
"249","GLEYBER TORRES 2016 Bowman Chrome Prosp Purple Ref RC PSA GEM MINT 10 #087/250","$39.99","Jan-29 13:37"
"250","(32) Dom Thompson-Williams 2016 Bowman Chrome Draft Blue Refractor + Lot Yankees","$1.76","Jan-29 13:36"
"251","2016 Bowman Chrome Andrew Benintendi Prime Positions GOLD Auto #/50","$100.00","Jan-29 06:00"
"252","Francis Martes 2016 Bowman Chrome RC LOT (8)","$3.25","Jan-29 05:59"
"253","Andrew Benintendi 2016 Bowman Chrome / Bowman RC LOT (8)","$12.50","Jan-29 05:57"
"254","LEWIS BRINSON 2016 BOWMAN CHROME BLUE REFRACTOR PROSPECT RC #'D /150 (RANGERS)","$1.99","Jan-29 05:37"
"255","Ryan Cordell Milwaukee Brewers 2016 Bowman Chrome Draft Sky Blue Refractor","$2.50","Jan-29 05:33"
"256","2016 Bowman Chrome Anthony Rizzo Gold Refractor Chicago Cubs 2/50","$11.00","Jan-29 05:33"
"257","2016 Bowman Chrome Albert Almora Auto Green Refractor Cubs  BCAR-AA  02/99","$18.00","Jan-29 05:00"
"258","2016 Bowman Chrome Corey Seager Auto Refractor Dodgers  BCAR-CS  405/499","$100.00","Jan-29 04:59"
"259","2016 Bowman Chrome Jose Berrios  Auto Refractor Twins  BCAR-JBE  195/499","$3.25","Jan-29 04:58"
"260","2016 Bowman Chrome Jose Peraza  Auto  Reds  BCAR-JP","$1.99","Jan-29 04:58"
"261","2016 Bowman Chrome Luis Severino Auto Green Refractor Yankees  BCAR-LS  26/99","$11.00","Jan-29 04:57"
"262","2016 Bowman Chrome Matt Reynolds Auto Mets  BCAR-MR Autograph","$1.99","Jan-29 04:57"
"263","2016 Topps Bowman Chrome National Exclusive Wrapper Redemption Pack 4 Refractors","$24.99","Jan-29 04:38"
"264","CAL QUANTRILL 2016 Bowman Chrome Draft Prospect Rookie RC Autograph Auto QTY","$6.04","Jan-29 04:27"
"265","2016 Bowman Chrome Case Base Lot 100% Unpicked Kris Bryant Corey Seager Trout ++","$99.00","Jan-29 04:25"
"266","BGS 9.5 2016 Bowman Chrome Rookie 10 Auto Superfractor Luis Severino 1/1 Yankees","$499.99","Jan-29 04:09"
"267","2016 KYLE LEWIS BOWMAN CHROME REFRACTOR AUTOGRAPH ROOKIE AUTO BGS 9.5/10 (0159)","$159.99","Jan-29 03:10"
"268","NOLAN MARTINEZ 2016 Bowman Chrome Draft 1st Card Auto Black Wave Ref 1/1 Yankee","$299.99","Jan-29 03:08"
"269","2016 Bowman Draft Chrome BDPP Mickey Moniak Ref Refractor Phillies N0n Auto","$10.00","Jan-29 03:05"
"270","2016 BOWMAN CHROME SCOUT'S UPDATES JHAREL COTTON DODGERS FREE SHIPPING","$0.99","Jan-29 01:03"
"271","2016 Bowman Chrome Draft MICKEY MONIAK Refractor Auto RC Autograph #'d 241/499","$129.99","Jan-29 00:52"
"272","2X ANDREW BENINTENDI 2016 BOWMAN CHROME ROOKIE RC LOT #BCP62 BOSTON RED SOX! }}","$2.99","Jan-29 00:16"
"273","RILEY PINT - 2016 BOWMAN CHROME DRAFT REFRACTOR #BDC50 - ROCKIES","$0.99","Jan-28 23:57"
"274","Mikey York Tampa Bay Rays 2016 Bowman Chrome Draft Yellow Printing Plate","$20.00","Jan-28 23:57"
"275","2016 Bowman Draft GAVIN LUX Chrome Refractor 1st #BDC-67 Dodgers 50 CENT SHIP","$2.00","Jan-28 23:37"
"276","2016 Bowman Platinum/ Bowman/ Topps Chrome Turner RC'S","$2.99","Jan-28 23:30"
"277","2016 Bowman Chrome Blue Refractor Ariel Jurado RC Autograph Auto #/150 RANGERS","$11.99","Jan-28 23:29"
"278","2016 Bowman Chrome (draft) autograph prospect Alec Hansen","$5.99","Jan-28 23:27"
"279","2016 Bowman Chrome Draft DAKOTA HUDSON Auto Blue Refractor RC 101/150 Cardinals","$17.78","Jan-28 22:59"
"280","2016 Bowman Chrome Draft Alex Kirilloff On Card Refractor Auto /499!","$54.95","Jan-28 22:35"
"281","2016 Bowman Chrome Auto Alex Kirilloff","$35.00","Jan-28 22:34"
"282","2016 Bowman Chrome Draft ALEX KIRILLOFF Prospect Auto RC HOT!! ON CARD 1st AUTO!","$31.99","Jan-28 22:33"
"283","2016 BOWMAN CHROME DRAFT ALEC HANSEN AUTO RC PURPLE REFRACTOR #/250","$9.99","Jan-28 22:23"
"284","1-2016 BOWMAN CHROME GREEN REFRACTOR WILLSON CONTRERAS CUBS 49/99","$39.99","Jan-28 22:14"
"285","2016 Bowman Chrome Willie Calhoun RC Rookie AUTO Los Angeles Dodgers Beautiful!","$19.99","Jan-28 22:12"
"286","CHRISTIN STEWART 2016 BOWMAN CHROME AUTOGRAPH Auto SIGNED TIGERS","$13.95","Jan-28 22:05"
"287","2016 Bowman Chrome Draft #BDC-168 Anfernee Seymour Purple Refractor #'d 080/250","$1.99","Jan-28 21:55"
"288","2016 Bowman Chrome Prospects #CPA-JMU Joe Musgrove Auto ~ Houston Astros","$4.99","Jan-28 21:55"
"289","2016 Bowman Chrome Draft #BDC-35 Joey Wentz Sky Blue Refractor ~ Atlanta Braves","$1.49","Jan-28 21:55"
"290","2016 Bowman Chrome Refractor Gold JAMES SHIELDS #88 White Sox /50","$2.68","Jan-28 21:47"
"291","JACK FLAHERTY 2016 Bowman Chrome Draft SKY BLUE REFRACTOR RC Cardinals BDC192","$1.99","Jan-28 21:47"
"292","TYSON ROSS 2016 BOWMAN CHROME PURPLE REFRACTOR #181/250 #42","$0.99","Jan-28 21:45"
"293","2016 Bowman BCP5 Yadier Alvarez 10 count all chrome lot Dodgers","$16.50","Jan-28 21:42"
"294","2016 Bowman Chrome Carl Edwards Jr RC Orange Refractor 21/25","$3.25","Jan-28 21:40"
"295","2016 Bowman Chrome Draft Purple Refractor Bryan Reynolds Giants RC Auto /250","$19.99","Jan-28 21:27"
"296","ALEX KIRILLOFF 2016 Bowman Chrome Draft Gold Refractor Rookie RC Auto /50 Twins!","$315.00","Jan-28 21:16"
"297","2012 Bowman Chrome #180 & 2016 Topps Chrome #175 Andrew McCutchen","$1.79","Jan-28 21:11"
"298","2016 BOWMAN CHROME IAN ANDERSON PURPLE REFRACTOR AUTO AUTOGRAPH /250 BGS 9.5!","$99.99","Jan-28 21:10"
"299","2016 Bowman Chrome Draft * Pirates WILL CRAIG ROOKIE GOLD REFRACTOR AUTO /50","$100.00","Jan-28 21:02"
"300","2016 Bowman Chrome Green Refractor Michael Conforto Mets RC Auto Redemption /99","$44.99","Jan-28 21:01"
"301","Corey Seager 2016 Bowman Chrome Prime Positions Orange Refractor RC Auto 22/25","$133.00","Jan-27 19:39"
"302","IAN ANDERSON 2016 BOWMAN CHROME ROOKIE BLUE REFRACTOR AUTOGRAPH SP AUTO #037/150","$48.77","Jan-27 19:39"
"303","2016 BOWMAN CHROME ELOY JIMENEZ (8) ROOKIE BASEBALL CARD LOT  CHICAGO CUBS HOT!!","$8.99","Jan-27 19:37"
"304","2016 Bowman Chrome Tyler Stephenson Prime Positions Orange Refractor AUTO/25","$6.52","Jan-27 19:32"
"305","2016 BOWMAN CHROME DRAFT ROOKIE AUTO ""DYLAN CARLSON""  CARDINALS","$4.76","Jan-27 19:30"
"306","2016 Bowman Chrome National Red Refractor JOSE BERRIOS BNR-11 TWINS RC 3/5 Made","$19.12","Jan-27 19:30"
"307","2016 BOWMAN CHROME DRAFT - PROSPECT - IAN HAPP","$0.50","Jan-27 19:28"
"308","Anderson Espinoza 2016 Bowman Chrome Purple Refractor Auto #/250","$36.00","Jan-27 19:28"
"309","2016 BOWMAN CHROME DRAFT - PROSPECT - ELOY JIMENEZ","$0.50","Jan-27 19:27"
"310","2016 TOPPS BOWMAN  CHROME PADRES AUTO LOT (2) ERIC LAUER COLIN REA","$1.04","Jan-27 19:25"
"311","2016 BOWMAN CHROME DRAFT ROOKIE AUTO ""TAYLOR TRAMMELL""  REDS","$13.50","Jan-27 19:22"
"312","Willie Calhoun 2016 Bowman Chrome Auto","$16.00","Jan-27 19:22"
"313","T.J. TJ ZEUCH 2016 BOWMAN CHROME DRAFT REFRACTOR ROOKIE AUTO RC #028/499 FD2233","$4.99","Jan-27 19:20"
"314","2016 BOWMAN CHROME DRAFT ROOKIE AUTO ""JUSTIN DUNN""  METS","$7.59","Jan-27 19:19"
"315","2016 Bowman Chrome Fernando Tatis Jr Auto Purple #'d /250 White Sox","$24.50","Jan-27 19:19"
"316","2016 Oneal Cruz Bowman Chrome Blue AUTO Refractor RC Card #119/150!!!","$24.99","Jan-27 19:19"
"317","2016 Bowman Chrome Purple Ref/250 RC Auto Oneal Cruz Los Angeles Dodgers","$20.50","Jan-27 19:16"
"318","2016 Bowman Chrome Top 100 Gold Refractor Aaron Judge Rc AUTO #7/50 Yankees","$17.26","Jan-27 19:15"
"319","Hoy-Jun Park 2016 Bowman Chrome Blue Refractor Auto 39/150 , Yankees , Autograph","$12.50","Jan-27 19:15"
"320","2016 BOWMAN CHROME DRAFT ROOKIE AUTO ""A.J. PUK""  ATHLETICS","$17.00","Jan-27 19:14"
"321","2016 Bowman Chrome Draft Gold Refractor Zack Burdi Rc AUTO #50/50 White Sox","$22.50","Jan-27 19:14"
"322","2016 BOWMAN CHROME - PROSPECT - BLACK AND GOLD REFRACTOR - SAM TRAVIS","$2.00","Jan-27 19:11"
"323","2016 BOWMAN CHROME DRAFT ROOKIE AUTO ""IAN ANDERSON""  BRAVES","$15.50","Jan-27 19:09"
"324","2016 Bowman Chrome Draft Mickey Moniak Sky Blue Refractor Prospect #1 - Phillies","$6.99","Jan-27 19:09"
"325","2016 BOWMAN CHROME DRAFT ROOKIE AUTO ""COREY RAY""  BREWERS","$19.99","Jan-27 19:07"
"326","2016 BOWMAN CHROME DRAFT ROOKIE AUTO ""GAVIN LUX""  DODGERS","$17.50","Jan-27 19:05"
"327","2016 Bowman Chrome Draft Matt Thaiss Purple Refractor Auto Autograph #82/250!!","$30.00","Jan-27 19:04"
"328","2016 Bowman Chrome Jose Berrios Green Refractor Auto (RC) #/99","$15.00","Jan-27 19:04"
"329","2016 BOWMAN CHROME DRAFT ROOKIE AUTO ""BOBBY DALBEC""  RED SOX","$15.79","Jan-27 19:02"
"330","2016 Bowman Chrome Auto Austin Gomber Purple Refractor 138/250","$3.14","Jan-27 19:01"
"331","2016 Bowman Chrome Draft Forrest Whitley RC Blue Refractor Auto Astros #/150!","$15.50","Jan-27 19:00"
"332","2016 Bowman Chrome Draft Bo Bichette RC Auto Jays Hot Prospect!","$20.51","Jan-27 19:00"
"333","2016 Bowman Chrome Draft RC Auto 9 Lot L@@K!","$29.51","Jan-27 19:00"
"334","2016 BOWMAN CHROME DRAFT ROOKIE AUTO ""BO BICHETTE""  BLUE JAYS","$22.50","Jan-27 18:58"
"335","2016 Bowman Chrome Draft DJ Peters Blue Refractors /150 Dodgers 2 Card Lot","$9.99","Jan-27 18:58"
"336","2016 Bowman Chrome Purple Refractors #70 Kris Bryant serial #'d 199/250","$13.50","Jan-27 18:57"
"337","2016 Bowman Chrome ADAM JONES /5 RED Refractor National Orioles SuperStar !!","$28.50","Jan-27 18:56"
"338","2016 Bowman Chrome Auto Paul DeJong  Refractor 039/499","$1.60","Jan-27 18:55"
"339","2016 Bowman Chrome Auto Paul DeJong Purple Refractor 114/250","$6.50","Jan-27 18:51"
"340","2016 Bowman Chrome Baseball Vending Sealed Box","$74.99","Jan-27 18:50"
"341","2 PACK LOT 2016 BOWMAN DRAFT BASEBALL GUARANTEED CHROME AUTO HOT PACKS AUTOGRAPH","$28.00","Jan-27 18:48"
"342","2016 BOWMAN CHROME AUTO BCAP-TA TYLER ALEXANDER PROSPECT TIGERS","$4.25","Jan-27 18:48"
"343","2016 Bowman Chrome Auto Raffy Ozuna  Blue Refractor 040/150","$8.02","Jan-27 18:47"
"344","2016 Bowman Chrome Auto Adam Engel Blue Refractor 035/150","$5.75","Jan-27 18:44"
"345","Trea Turner 2016 Bowman Chrome Top 100 Gold Rookie RC Auto Autograph /50 Nats","$109.95","Jan-27 18:43"
"346","2016 Will Benson bowman chrome draft black refractor rc auto # 22/75 (indians)","$104.99","Jan-27 18:35"
"347","2016 Bowman Chrome Jesus Tinoco Autograph Auto Rockies FBC","$0.99","Jan-27 18:32"
"348","WASHINGTON NATIONALS #23 2016 Bowman Chrome Baseball VENDING 1/2 CASE Break","$36.00","Jan-27 18:27"
"349","TORONTO BLUE JAYS #23 2016 Bowman Chrome Baseball VENDING 1/2 CASE Break","$57.00","Jan-27 18:24"
"350","ANFERNEE GRIER 2016 Bowman Draft 1st BLUE WAVE CHROME AUTO RC /150 DIAMONDBACKS","$14.99","Jan-27 18:22"
"351","1995 (BRAVES) Upper Deck Special Edition #151 Greg Maddux","$0.99","Jan-23 18:26"
"352","1995 (BRAVES) Upper Deck Electric Diamond #49 Greg Maddux","$1.20","Jan-23 18:26"
"353","1995 (BRAVES) Upper Deck Electric Diamond #101 Greg Maddux ANA","$0.99","Jan-23 18:26"
"354","1995 (BRAVES) Upper Deck Checklists #5A Greg Maddux","$0.99","Jan-23 18:25"
"355","1995 (BRAVES) Upper Deck Checklists #3B Greg Maddux","$0.99","Jan-23 18:25"
"356","2003 TOPPS CHROME GREG MADDUX  #D38/50--XFRACTOR UNCIRCULATED","$24.95","Jan-23 18:25"
"357","1995 (BRAVES) UC3 In Motion #IM8 Greg Maddux","$1.20","Jan-23 18:06"
"358","1995 (BRAVES) Ultra Gold Medallion #129 Greg Maddux","$1.60","Jan-23 18:06"
"359","1995 (BRAVES) Ultra League Leaders Gold Medallion #8 Greg Maddux","$1.60","Jan-23 18:06"
"360","1995 (BRAVES) Ultra Strikeout Kings Gold Medallion #4 Greg Maddux","$1.60","Jan-23 18:06"
"361","1995 (BRAVES) Tombstone Pizza #5 Greg Maddux","$1.60","Jan-23 18:06"
"362","1995 (BRAVES) Topps Cyberstats #158 Greg Maddux","$0.99","Jan-23 18:06"
"363","1995 (BRAVES) Stadium Club Virtual Reality #222 Greg Maddux","$1.25","Jan-23 18:05"
"364","2004 UPPER DECK POWER UP BASEBALL SHINING THROUGH #52 GREG MADDUX CUBS AG806","$0.28","Jan-23 18:02"
"365","2015 Topps Strata Greg Maddux Auto On Card Acetate 58/75 Atlanta Braves Wow!","$46.00","Jan-23 17:30"
"366","GREG MADDUX  CUBS  1991 FLEER ULTRA #64","$0.99","Jan-23 16:31"
"367","greg maddux","$0.59","Jan-23 16:28"
"368","1995 (BRAVES) Score Hall of Gold #HG18 Greg Maddux","$2.00","Jan-23 15:56"
"369","1995 (BRAVES) Pinnacle Red Hot #RH12 Greg Maddux","$1.80","Jan-23 15:55"
"370","1995 (BRAVES)  Fleer Award Winners #4 Greg Maddux","$0.99","Jan-23 15:46"
"371","1987 TOPPS TRADED #70T GREG MADDUX RC CUBS GEM MT 10","$3.25","Jan-23 13:18"
"372","GREG MADDUX 2005 Leaf Sportscasters Blue Running /40!","$4.00","Jan-23 13:00"
"373","1986 Procards GREG MADDUX Rookie RC Pittsfield Cubs  NM+","$4.99","Jan-23 12:30"
"374","2015 Topps Supreme Greg Maddux Autograph Auto # 22/26 Atlanta Braves","$124.99","Jan-23 11:30"
"375","GREG MADDUX 1987 LEAF RATED ROOKIE PSA 9  CUBS","$8.99","Jan-23 09:42"
"376","Lot of (7) 1987 Donruss Leaf #36 Greg Maddux Rated Rookie RC NM Chicago Cubs","$6.99","Jan-23 09:20"
"377","1989 FLEER SUPERSTARS #28 GREG MADDUX CUBS HOF POP 5 PSA 10 B2234905-512","$9.99","Jan-23 08:38"
"378","2 Atlanta Constitution Autographed Newspapers Tom Glavine Greg Maddux Braves","$32.00","Jan-23 07:23"
"379","1997 FLAIR SHOWCASE GREG MADDUX #D5/100 LEGACY ROW 2 SEAT 44","$24.99","Jan-23 05:55"
"380","1998 FLEER DUGOUT AXCESS DISHWASHERS # D1 GREG MADDUX ATLANTA BRAVES","$1.49","Jan-23 05:52"
"381","GREG MADDUX SOUTHLAND PLASTICS BASEBALL STATUE FIGURE NEW IN BOX LIMITED EDITION","$9.99","Jan-23 04:28"
"382","2016 Bowman Draft Chrome Baseball Inserts - Complete Your Set !!","$0.99 to $1.50","Jan-23 00:30"
"383","2016 Topps High Tek GREG MADDUX Jumbo 5x7 HIGHLIGHTS Insert #37/49","$2.49","Jan-22 23:39"
"384","GREG MADDUX 31 CARD LOT NO DUPES PREMIUMS INSERTS","$1.49","Jan-22 23:08"
"385","1999 Greg Maddux Crown Royale Living Legends Rare Insert #D 59/375 Braves","$6.99","Jan-22 23:00"
"386","1998 (BRAVES) Circa Thunder Limited Access #9 Greg Maddux","$4.00","Jan-22 22:11"
"387","2016 Triple Threads Purple Greg Maddux (304/340) Braves","$0.99","Jan-22 22:11"
"388","CHICAGO CUBS Number KIT For Authentic HOME JERSEY ANY NAME OR NUMBER","$24.99","Jan-22 21:54"
"389","2014 Panini 75th HOF Elite Series Greg Maddux (06/25) Braves","$1.07","Jan-22 21:06"
"390","pop 4 - 1997 Bowman's Best ATOMIC Refractor #40 Greg MADDUX - PSA 10+++ HOF","$59.99","Jan-22 21:03"
"391","1997 Fleer Atlanta Braves team set Chipper Jones, Greg Maddux, Smoltz Mint PSA","$0.50","Jan-22 20:53"
"392","1999 METAL UNIVERSE DIAMOND SOUL #6 GREG MADDUX MINT *000711","$2.50","Jan-22 20:33"
"393","1987 - Greg Maddux #36 - Donruss Baseball Card - PSA NM7     (lot 0456)","$1.25","Jan-22 20:18"
"394","1989 Bowman Baseball Card #284 GREG MADDUX Cubs NRMT","$1.25","Jan-22 19:53"
"395","1987 Donruss Baseball #036 Greg Maddux Rookie PSA 8 Chicago Cubs HOF","$2.25","Jan-22 19:50"
"396","1998 SKYBOX EX-2001 GREG MADDUX #D58/98-ESS CREDENTIALS FUTURE--PSA 9","$150.00","Jan-22 19:27"
"397","1993 Leaf Donruss Elite DOMINATORS Greg Maddux /5000 Insert HOF Braves","$4.25","Jan-22 19:00"
"398","Greg Maddux mcfarlane Chicago Cubs variant LOOSE","$32.00","Jan-22 18:57"
"399","GREG MADDUX $20+ MINT BRAVES HOF ROOKIE CARD #70T CUBS RC SP 1987 TOPPS TRADED.","$3.50Trending at$3.90","Jan-22 18:55"
"400","1987 Donruss Greg Maddux #36 PSA 9 MINT - Chicago Cubs","$3.99","Jan-22 18:45"
